"yesno" "V1" "V2"
"Mean and Std. Deviation of" 31 "tBodyAcc-arCoeff()-Y,2"
"Mean and Std. Deviation of" 32 "tBodyAcc-arCoeff()-Y,3"
"Mean and Std. Deviation of" 33 "tBodyAcc-arCoeff()-Y,4"
"Mean and Std. Deviation of" 34 "tBodyAcc-arCoeff()-Z,1"
"Mean and Std. Deviation of" 35 "tBodyAcc-arCoeff()-Z,2"
"Mean and Std. Deviation of" 36 "tBodyAcc-arCoeff()-Z,3"
"Mean and Std. Deviation of" 37 "tBodyAcc-arCoeff()-Z,4"
"Mean and Std. Deviation of" 38 "tBodyAcc-correlation()-X,Y"
"Mean and Std. Deviation of" 39 "tBodyAcc-correlation()-X,Z"
"Mean and Std. Deviation of" 40 "tBodyAcc-correlation()-Y,Z"
"Mean and Std. Deviation of" 41 "tGravityAcc-mean()-X"
"Mean and Std. Deviation of" 42 "tGravityAcc-mean()-Y"
"Mean and Std. Deviation of" 43 "tGravityAcc-mean()-Z"
"Mean and Std. Deviation of" 44 "tGravityAcc-std()-X"
"Mean and Std. Deviation of" 45 "tGravityAcc-std()-Y"
"Mean and Std. Deviation of" 46 "tGravityAcc-std()-Z"
"Mean and Std. Deviation of" 47 "tGravityAcc-mad()-X"
"Mean and Std. Deviation of" 48 "tGravityAcc-mad()-Y"
"Mean and Std. Deviation of" 49 "tGravityAcc-mad()-Z"
"Mean and Std. Deviation of" 50 "tGravityAcc-max()-X"
"Mean and Std. Deviation of" 51 "tGravityAcc-max()-Y"
"Mean and Std. Deviation of" 52 "tGravityAcc-max()-Z"
"Mean and Std. Deviation of" 53 "tGravityAcc-min()-X"
"Mean and Std. Deviation of" 54 "tGravityAcc-min()-Y"
"Mean and Std. Deviation of" 55 "tGravityAcc-min()-Z"
"Mean and Std. Deviation of" 56 "tGravityAcc-sma()"
"Mean and Std. Deviation of" 57 "tGravityAcc-energy()-X"
"Mean and Std. Deviation of" 58 "tGravityAcc-energy()-Y"
"Mean and Std. Deviation of" 59 "tGravityAcc-energy()-Z"
"Mean and Std. Deviation of" 60 "tGravityAcc-iqr()-X"
"Mean and Std. Deviation of" 61 "tGravityAcc-iqr()-Y"
"Mean and Std. Deviation of" 62 "tGravityAcc-iqr()-Z"
"Mean and Std. Deviation of" 63 "tGravityAcc-entropy()-X"
"Mean and Std. Deviation of" 64 "tGravityAcc-entropy()-Y"
"Mean and Std. Deviation of" 65 "tGravityAcc-entropy()-Z"
"Mean and Std. Deviation of" 66 "tGravityAcc-arCoeff()-X,1"
"Mean and Std. Deviation of" 67 "tGravityAcc-arCoeff()-X,2"
"Mean and Std. Deviation of" 68 "tGravityAcc-arCoeff()-X,3"
"Mean and Std. Deviation of" 69 "tGravityAcc-arCoeff()-X,4"
"Mean and Std. Deviation of" 70 "tGravityAcc-arCoeff()-Y,1"
"Mean and Std. Deviation of" 71 "tGravityAcc-arCoeff()-Y,2"
"Mean and Std. Deviation of" 72 "tGravityAcc-arCoeff()-Y,3"
"Mean and Std. Deviation of" 73 "tGravityAcc-arCoeff()-Y,4"
"Mean and Std. Deviation of" 74 "tGravityAcc-arCoeff()-Z,1"
"Mean and Std. Deviation of" 75 "tGravityAcc-arCoeff()-Z,2"
"Mean and Std. Deviation of" 76 "tGravityAcc-arCoeff()-Z,3"
"Mean and Std. Deviation of" 77 "tGravityAcc-arCoeff()-Z,4"
"Mean and Std. Deviation of" 78 "tGravityAcc-correlation()-X,Y"
"Mean and Std. Deviation of" 79 "tGravityAcc-correlation()-X,Z"
"Mean and Std. Deviation of" 80 "tGravityAcc-correlation()-Y,Z"
"Mean and Std. Deviation of" 81 "tBodyAccJerk-mean()-X"
"Mean and Std. Deviation of" 82 "tBodyAccJerk-mean()-Y"
"Mean and Std. Deviation of" 83 "tBodyAccJerk-mean()-Z"
"Mean and Std. Deviation of" 84 "tBodyAccJerk-std()-X"
"Mean and Std. Deviation of" 85 "tBodyAccJerk-std()-Y"
"Mean and Std. Deviation of" 86 "tBodyAccJerk-std()-Z"
"Mean and Std. Deviation of" 87 "tBodyAccJerk-mad()-X"
"Mean and Std. Deviation of" 88 "tBodyAccJerk-mad()-Y"
"Mean and Std. Deviation of" 89 "tBodyAccJerk-mad()-Z"
"Mean and Std. Deviation of" 90 "tBodyAccJerk-max()-X"
"Mean and Std. Deviation of" 91 "tBodyAccJerk-max()-Y"
"Mean and Std. Deviation of" 92 "tBodyAccJerk-max()-Z"
"Mean and Std. Deviation of" 93 "tBodyAccJerk-min()-X"
"Mean and Std. Deviation of" 94 "tBodyAccJerk-min()-Y"
"Mean and Std. Deviation of" 95 "tBodyAccJerk-min()-Z"
"Mean and Std. Deviation of" 96 "tBodyAccJerk-sma()"
"Mean and Std. Deviation of" 97 "tBodyAccJerk-energy()-X"
"Mean and Std. Deviation of" 98 "tBodyAccJerk-energy()-Y"
"Mean and Std. Deviation of" 99 "tBodyAccJerk-energy()-Z"
"Mean and Std. Deviation of" 100 "tBodyAccJerk-iqr()-X"
"Mean and Std. Deviation of" 101 "tBodyAccJerk-iqr()-Y"
"Mean and Std. Deviation of" 102 "tBodyAccJerk-iqr()-Z"
"Mean and Std. Deviation of" 103 "tBodyAccJerk-entropy()-X"
"Mean and Std. Deviation of" 104 "tBodyAccJerk-entropy()-Y"
"Mean and Std. Deviation of" 105 "tBodyAccJerk-entropy()-Z"
"Mean and Std. Deviation of" 106 "tBodyAccJerk-arCoeff()-X,1"
"Mean and Std. Deviation of" 107 "tBodyAccJerk-arCoeff()-X,2"
"Mean and Std. Deviation of" 108 "tBodyAccJerk-arCoeff()-X,3"
"Mean and Std. Deviation of" 109 "tBodyAccJerk-arCoeff()-X,4"
"Mean and Std. Deviation of" 110 "tBodyAccJerk-arCoeff()-Y,1"
"Mean and Std. Deviation of" 111 "tBodyAccJerk-arCoeff()-Y,2"
"Mean and Std. Deviation of" 112 "tBodyAccJerk-arCoeff()-Y,3"
"Mean and Std. Deviation of" 113 "tBodyAccJerk-arCoeff()-Y,4"
"Mean and Std. Deviation of" 114 "tBodyAccJerk-arCoeff()-Z,1"
"Mean and Std. Deviation of" 115 "tBodyAccJerk-arCoeff()-Z,2"
"Mean and Std. Deviation of" 116 "tBodyAccJerk-arCoeff()-Z,3"
"Mean and Std. Deviation of" 117 "tBodyAccJerk-arCoeff()-Z,4"
"Mean and Std. Deviation of" 118 "tBodyAccJerk-correlation()-X,Y"
"Mean and Std. Deviation of" 119 "tBodyAccJerk-correlation()-X,Z"
"Mean and Std. Deviation of" 120 "tBodyAccJerk-correlation()-Y,Z"
"Mean and Std. Deviation of" 121 "tBodyGyro-mean()-X"
"Mean and Std. Deviation of" 122 "tBodyGyro-mean()-Y"
"Mean and Std. Deviation of" 123 "tBodyGyro-mean()-Z"
"Mean and Std. Deviation of" 124 "tBodyGyro-std()-X"
"Mean and Std. Deviation of" 125 "tBodyGyro-std()-Y"
"Mean and Std. Deviation of" 126 "tBodyGyro-std()-Z"
"Mean and Std. Deviation of" 127 "tBodyGyro-mad()-X"
"Mean and Std. Deviation of" 128 "tBodyGyro-mad()-Y"
"Mean and Std. Deviation of" 129 "tBodyGyro-mad()-Z"
"Mean and Std. Deviation of" 130 "tBodyGyro-max()-X"
"Mean and Std. Deviation of" 131 "tBodyGyro-max()-Y"
"Mean and Std. Deviation of" 132 "tBodyGyro-max()-Z"
"Mean and Std. Deviation of" 133 "tBodyGyro-min()-X"
"Mean and Std. Deviation of" 134 "tBodyGyro-min()-Y"
"Mean and Std. Deviation of" 135 "tBodyGyro-min()-Z"
"Mean and Std. Deviation of" 136 "tBodyGyro-sma()"
"Mean and Std. Deviation of" 137 "tBodyGyro-energy()-X"
"Mean and Std. Deviation of" 138 "tBodyGyro-energy()-Y"
"Mean and Std. Deviation of" 139 "tBodyGyro-energy()-Z"
"Mean and Std. Deviation of" 140 "tBodyGyro-iqr()-X"
"Mean and Std. Deviation of" 141 "tBodyGyro-iqr()-Y"
"Mean and Std. Deviation of" 142 "tBodyGyro-iqr()-Z"
"Mean and Std. Deviation of" 143 "tBodyGyro-entropy()-X"
"Mean and Std. Deviation of" 144 "tBodyGyro-entropy()-Y"
"Mean and Std. Deviation of" 145 "tBodyGyro-entropy()-Z"
"Mean and Std. Deviation of" 146 "tBodyGyro-arCoeff()-X,1"
"Mean and Std. Deviation of" 147 "tBodyGyro-arCoeff()-X,2"
"Mean and Std. Deviation of" 148 "tBodyGyro-arCoeff()-X,3"
"Mean and Std. Deviation of" 149 "tBodyGyro-arCoeff()-X,4"
"Mean and Std. Deviation of" 150 "tBodyGyro-arCoeff()-Y,1"
"Mean and Std. Deviation of" 151 "tBodyGyro-arCoeff()-Y,2"
"Mean and Std. Deviation of" 152 "tBodyGyro-arCoeff()-Y,3"
"Mean and Std. Deviation of" 153 "tBodyGyro-arCoeff()-Y,4"
"Mean and Std. Deviation of" 154 "tBodyGyro-arCoeff()-Z,1"
"Mean and Std. Deviation of" 155 "tBodyGyro-arCoeff()-Z,2"
"Mean and Std. Deviation of" 156 "tBodyGyro-arCoeff()-Z,3"
"Mean and Std. Deviation of" 157 "tBodyGyro-arCoeff()-Z,4"
"Mean and Std. Deviation of" 158 "tBodyGyro-correlation()-X,Y"
"Mean and Std. Deviation of" 159 "tBodyGyro-correlation()-X,Z"
"Mean and Std. Deviation of" 160 "tBodyGyro-correlation()-Y,Z"
"Mean and Std. Deviation of" 161 "tBodyGyroJerk-mean()-X"
"Mean and Std. Deviation of" 162 "tBodyGyroJerk-mean()-Y"
"Mean and Std. Deviation of" 163 "tBodyGyroJerk-mean()-Z"
"Mean and Std. Deviation of" 164 "tBodyGyroJerk-std()-X"
"Mean and Std. Deviation of" 165 "tBodyGyroJerk-std()-Y"
"Mean and Std. Deviation of" 166 "tBodyGyroJerk-std()-Z"
"Mean and Std. Deviation of" 167 "tBodyGyroJerk-mad()-X"
"Mean and Std. Deviation of" 168 "tBodyGyroJerk-mad()-Y"
"Mean and Std. Deviation of" 169 "tBodyGyroJerk-mad()-Z"
"Mean and Std. Deviation of" 170 "tBodyGyroJerk-max()-X"
"Mean and Std. Deviation of" 171 "tBodyGyroJerk-max()-Y"
"Mean and Std. Deviation of" 172 "tBodyGyroJerk-max()-Z"
"Mean and Std. Deviation of" 173 "tBodyGyroJerk-min()-X"
"Mean and Std. Deviation of" 174 "tBodyGyroJerk-min()-Y"
"Mean and Std. Deviation of" 175 "tBodyGyroJerk-min()-Z"
"Mean and Std. Deviation of" 176 "tBodyGyroJerk-sma()"
"Mean and Std. Deviation of" 177 "tBodyGyroJerk-energy()-X"
"Mean and Std. Deviation of" 178 "tBodyGyroJerk-energy()-Y"
"Mean and Std. Deviation of" 179 "tBodyGyroJerk-energy()-Z"
"Mean and Std. Deviation of" 180 "tBodyGyroJerk-iqr()-X"
"Mean and Std. Deviation of" 181 "tBodyGyroJerk-iqr()-Y"
"Mean and Std. Deviation of" 182 "tBodyGyroJerk-iqr()-Z"
"Mean and Std. Deviation of" 183 "tBodyGyroJerk-entropy()-X"
"Mean and Std. Deviation of" 184 "tBodyGyroJerk-entropy()-Y"
"Mean and Std. Deviation of" 185 "tBodyGyroJerk-entropy()-Z"
"Mean and Std. Deviation of" 186 "tBodyGyroJerk-arCoeff()-X,1"
"Mean and Std. Deviation of" 187 "tBodyGyroJerk-arCoeff()-X,2"
"Mean and Std. Deviation of" 188 "tBodyGyroJerk-arCoeff()-X,3"
"Mean and Std. Deviation of" 189 "tBodyGyroJerk-arCoeff()-X,4"
"Mean and Std. Deviation of" 190 "tBodyGyroJerk-arCoeff()-Y,1"
"Mean and Std. Deviation of" 191 "tBodyGyroJerk-arCoeff()-Y,2"
"Mean and Std. Deviation of" 192 "tBodyGyroJerk-arCoeff()-Y,3"
"Mean and Std. Deviation of" 193 "tBodyGyroJerk-arCoeff()-Y,4"
"Mean and Std. Deviation of" 194 "tBodyGyroJerk-arCoeff()-Z,1"
"Mean and Std. Deviation of" 195 "tBodyGyroJerk-arCoeff()-Z,2"
"Mean and Std. Deviation of" 196 "tBodyGyroJerk-arCoeff()-Z,3"
"Mean and Std. Deviation of" 197 "tBodyGyroJerk-arCoeff()-Z,4"
"Mean and Std. Deviation of" 198 "tBodyGyroJerk-correlation()-X,Y"
"Mean and Std. Deviation of" 199 "tBodyGyroJerk-correlation()-X,Z"
"Mean and Std. Deviation of" 200 "tBodyGyroJerk-correlation()-Y,Z"
"Mean and Std. Deviation of" 201 "tBodyAccMag-mean()"
"Mean and Std. Deviation of" 202 "tBodyAccMag-std()"
"Mean and Std. Deviation of" 203 "tBodyAccMag-mad()"
"Mean and Std. Deviation of" 204 "tBodyAccMag-max()"
"Mean and Std. Deviation of" 205 "tBodyAccMag-min()"
"Mean and Std. Deviation of" 206 "tBodyAccMag-sma()"
"Mean and Std. Deviation of" 207 "tBodyAccMag-energy()"
"Mean and Std. Deviation of" 208 "tBodyAccMag-iqr()"
"Mean and Std. Deviation of" 209 "tBodyAccMag-entropy()"
"Mean and Std. Deviation of" 210 "tBodyAccMag-arCoeff()1"
"Mean and Std. Deviation of" 211 "tBodyAccMag-arCoeff()2"
"Mean and Std. Deviation of" 212 "tBodyAccMag-arCoeff()3"
"Mean and Std. Deviation of" 213 "tBodyAccMag-arCoeff()4"
"Mean and Std. Deviation of" 214 "tGravityAccMag-mean()"
"Mean and Std. Deviation of" 215 "tGravityAccMag-std()"
"Mean and Std. Deviation of" 216 "tGravityAccMag-mad()"
"Mean and Std. Deviation of" 217 "tGravityAccMag-max()"
"Mean and Std. Deviation of" 218 "tGravityAccMag-min()"
"Mean and Std. Deviation of" 219 "tGravityAccMag-sma()"
"Mean and Std. Deviation of" 220 "tGravityAccMag-energy()"
"Mean and Std. Deviation of" 221 "tGravityAccMag-iqr()"
"Mean and Std. Deviation of" 222 "tGravityAccMag-entropy()"
"Mean and Std. Deviation of" 223 "tGravityAccMag-arCoeff()1"
"Mean and Std. Deviation of" 224 "tGravityAccMag-arCoeff()2"
"Mean and Std. Deviation of" 225 "tGravityAccMag-arCoeff()3"
"Mean and Std. Deviation of" 226 "tGravityAccMag-arCoeff()4"
"Mean and Std. Deviation of" 227 "tBodyAccJerkMag-mean()"
"Mean and Std. Deviation of" 228 "tBodyAccJerkMag-std()"
"Mean and Std. Deviation of" 229 "tBodyAccJerkMag-mad()"
"Mean and Std. Deviation of" 230 "tBodyAccJerkMag-max()"
"Mean and Std. Deviation of" 231 "tBodyAccJerkMag-min()"
"Mean and Std. Deviation of" 232 "tBodyAccJerkMag-sma()"
"Mean and Std. Deviation of" 233 "tBodyAccJerkMag-energy()"
"Mean and Std. Deviation of" 234 "tBodyAccJerkMag-iqr()"
"Mean and Std. Deviation of" 235 "tBodyAccJerkMag-entropy()"
"Mean and Std. Deviation of" 236 "tBodyAccJerkMag-arCoeff()1"
"Mean and Std. Deviation of" 237 "tBodyAccJerkMag-arCoeff()2"
"Mean and Std. Deviation of" 238 "tBodyAccJerkMag-arCoeff()3"
"Mean and Std. Deviation of" 239 "tBodyAccJerkMag-arCoeff()4"
"Mean and Std. Deviation of" 240 "tBodyGyroMag-mean()"
"Mean and Std. Deviation of" 241 "tBodyGyroMag-std()"
"Mean and Std. Deviation of" 242 "tBodyGyroMag-mad()"
"Mean and Std. Deviation of" 243 "tBodyGyroMag-max()"
"Mean and Std. Deviation of" 244 "tBodyGyroMag-min()"
"Mean and Std. Deviation of" 245 "tBodyGyroMag-sma()"
"Mean and Std. Deviation of" 246 "tBodyGyroMag-energy()"
"Mean and Std. Deviation of" 247 "tBodyGyroMag-iqr()"
"Mean and Std. Deviation of" 248 "tBodyGyroMag-entropy()"
"Mean and Std. Deviation of" 249 "tBodyGyroMag-arCoeff()1"
"Mean and Std. Deviation of" 250 "tBodyGyroMag-arCoeff()2"
"Mean and Std. Deviation of" 251 "tBodyGyroMag-arCoeff()3"
"Mean and Std. Deviation of" 252 "tBodyGyroMag-arCoeff()4"
"Mean and Std. Deviation of" 253 "tBodyGyroJerkMag-mean()"
"Mean and Std. Deviation of" 254 "tBodyGyroJerkMag-std()"
"Mean and Std. Deviation of" 255 "tBodyGyroJerkMag-mad()"
"Mean and Std. Deviation of" 256 "tBodyGyroJerkMag-max()"
"Mean and Std. Deviation of" 257 "tBodyGyroJerkMag-min()"
"Mean and Std. Deviation of" 258 "tBodyGyroJerkMag-sma()"
"Mean and Std. Deviation of" 259 "tBodyGyroJerkMag-energy()"
"Mean and Std. Deviation of" 260 "tBodyGyroJerkMag-iqr()"
"Mean and Std. Deviation of" 261 "tBodyGyroJerkMag-entropy()"
"Mean and Std. Deviation of" 262 "tBodyGyroJerkMag-arCoeff()1"
"Mean and Std. Deviation of" 263 "tBodyGyroJerkMag-arCoeff()2"
"Mean and Std. Deviation of" 264 "tBodyGyroJerkMag-arCoeff()3"
"Mean and Std. Deviation of" 265 "tBodyGyroJerkMag-arCoeff()4"
"Mean and Std. Deviation of" 266 "fBodyAcc-mean()-X"
"Mean and Std. Deviation of" 267 "fBodyAcc-mean()-Y"
"Mean and Std. Deviation of" 268 "fBodyAcc-mean()-Z"
"Mean and Std. Deviation of" 269 "fBodyAcc-std()-X"
"Mean and Std. Deviation of" 270 "fBodyAcc-std()-Y"
"Mean and Std. Deviation of" 271 "fBodyAcc-std()-Z"
"Mean and Std. Deviation of" 272 "fBodyAcc-mad()-X"
"Mean and Std. Deviation of" 273 "fBodyAcc-mad()-Y"
"Mean and Std. Deviation of" 274 "fBodyAcc-mad()-Z"
"Mean and Std. Deviation of" 275 "fBodyAcc-max()-X"
"Mean and Std. Deviation of" 276 "fBodyAcc-max()-Y"
"Mean and Std. Deviation of" 277 "fBodyAcc-max()-Z"
"Mean and Std. Deviation of" 278 "fBodyAcc-min()-X"
"Mean and Std. Deviation of" 279 "fBodyAcc-min()-Y"
"Mean and Std. Deviation of" 280 "fBodyAcc-min()-Z"
"Mean and Std. Deviation of" 281 "fBodyAcc-sma()"
"Mean and Std. Deviation of" 282 "fBodyAcc-energy()-X"
"Mean and Std. Deviation of" 283 "fBodyAcc-energy()-Y"
"Mean and Std. Deviation of" 284 "fBodyAcc-energy()-Z"
"Mean and Std. Deviation of" 285 "fBodyAcc-iqr()-X"
"Mean and Std. Deviation of" 286 "fBodyAcc-iqr()-Y"
"Mean and Std. Deviation of" 287 "fBodyAcc-iqr()-Z"
"Mean and Std. Deviation of" 288 "fBodyAcc-entropy()-X"
"Mean and Std. Deviation of" 289 "fBodyAcc-entropy()-Y"
"Mean and Std. Deviation of" 290 "fBodyAcc-entropy()-Z"
"Mean and Std. Deviation of" 291 "fBodyAcc-maxInds-X"
"Mean and Std. Deviation of" 292 "fBodyAcc-maxInds-Y"
"Mean and Std. Deviation of" 293 "fBodyAcc-maxInds-Z"
"Mean and Std. Deviation of" 294 "fBodyAcc-meanFreq()-X"
"Mean and Std. Deviation of" 295 "fBodyAcc-meanFreq()-Y"
"Mean and Std. Deviation of" 296 "fBodyAcc-meanFreq()-Z"
"Mean and Std. Deviation of" 297 "fBodyAcc-skewness()-X"
"Mean and Std. Deviation of" 298 "fBodyAcc-kurtosis()-X"
"Mean and Std. Deviation of" 299 "fBodyAcc-skewness()-Y"
"Mean and Std. Deviation of" 300 "fBodyAcc-kurtosis()-Y"
"Mean and Std. Deviation of" 301 "fBodyAcc-skewness()-Z"
"Mean and Std. Deviation of" 302 "fBodyAcc-kurtosis()-Z"
"Mean and Std. Deviation of" 303 "fBodyAcc-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 304 "fBodyAcc-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 305 "fBodyAcc-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 306 "fBodyAcc-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 307 "fBodyAcc-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 308 "fBodyAcc-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 309 "fBodyAcc-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 310 "fBodyAcc-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 311 "fBodyAcc-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 312 "fBodyAcc-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 313 "fBodyAcc-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 314 "fBodyAcc-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 315 "fBodyAcc-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 316 "fBodyAcc-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 317 "fBodyAcc-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 318 "fBodyAcc-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 319 "fBodyAcc-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 320 "fBodyAcc-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 321 "fBodyAcc-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 322 "fBodyAcc-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 323 "fBodyAcc-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 324 "fBodyAcc-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 325 "fBodyAcc-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 326 "fBodyAcc-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 327 "fBodyAcc-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 328 "fBodyAcc-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 329 "fBodyAcc-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 330 "fBodyAcc-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 331 "fBodyAcc-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 332 "fBodyAcc-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 333 "fBodyAcc-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 334 "fBodyAcc-bandsEnergy()-25,32"
"Mean and Std. Deviation of" 335 "fBodyAcc-bandsEnergy()-33,40"
"Mean and Std. Deviation of" 336 "fBodyAcc-bandsEnergy()-41,48"
"Mean and Std. Deviation of" 337 "fBodyAcc-bandsEnergy()-49,56"
"Mean and Std. Deviation of" 338 "fBodyAcc-bandsEnergy()-57,64"
"Mean and Std. Deviation of" 339 "fBodyAcc-bandsEnergy()-1,16"
"Mean and Std. Deviation of" 340 "fBodyAcc-bandsEnergy()-17,32"
"Mean and Std. Deviation of" 341 "fBodyAcc-bandsEnergy()-33,48"
"Mean and Std. Deviation of" 342 "fBodyAcc-bandsEnergy()-49,64"
"Mean and Std. Deviation of" 343 "fBodyAcc-bandsEnergy()-1,24"
"Mean and Std. Deviation of" 344 "fBodyAcc-bandsEnergy()-25,48"
"Mean and Std. Deviation of" 345 "fBodyAccJerk-mean()-X"
"Mean and Std. Deviation of" 346 "fBodyAccJerk-mean()-Y"
"Mean and Std. Deviation of" 347 "fBodyAccJerk-mean()-Z"
"Mean and Std. Deviation of" 348 "fBodyAccJerk-std()-X"
"Mean and Std. Deviation of" 349 "fBodyAccJerk-std()-Y"
"Mean and Std. Deviation of" 350 "fBodyAccJerk-std()-Z"
"Mean and Std. Deviation of" 351 "fBodyAccJerk-mad()-X"
"Mean and Std. Deviation of" 352 "fBodyAccJerk-mad()-Y"
"Mean and Std. Deviation of" 353 "fBodyAccJerk-mad()-Z"
"Mean and Std. Deviation of" 354 "fBodyAccJerk-max()-X"
"Mean and Std. Deviation of" 355 "fBodyAccJerk-max()-Y"
"Mean and Std. Deviation of" 356 "fBodyAccJerk-max()-Z"
"Mean and Std. Deviation of" 357 "fBodyAccJerk-min()-X"
"Mean and Std. Deviation of" 358 "fBodyAccJerk-min()-Y"
"Mean and Std. Deviation of" 359 "fBodyAccJerk-min()-Z"
"Mean and Std. Deviation of" 360 "fBodyAccJerk-sma()"
"Mean and Std. Deviation of" 361 "fBodyAccJerk-energy()-X"
"Mean and Std. Deviation of" 362 "fBodyAccJerk-energy()-Y"
"Mean and Std. Deviation of" 363 "fBodyAccJerk-energy()-Z"
"Mean and Std. Deviation of" 364 "fBodyAccJerk-iqr()-X"
"Mean and Std. Deviation of" 365 "fBodyAccJerk-iqr()-Y"
"Mean and Std. Deviation of" 366 "fBodyAccJerk-iqr()-Z"
"Mean and Std. Deviation of" 367 "fBodyAccJerk-entropy()-X"
"Mean and Std. Deviation of" 368 "fBodyAccJerk-entropy()-Y"
"Mean and Std. Deviation of" 369 "fBodyAccJerk-entropy()-Z"
"Mean and Std. Deviation of" 370 "fBodyAccJerk-maxInds-X"
"Mean and Std. Deviation of" 371 "fBodyAccJerk-maxInds-Y"
"Mean and Std. Deviation of" 372 "fBodyAccJerk-maxInds-Z"
"Mean and Std. Deviation of" 373 "fBodyAccJerk-meanFreq()-X"
"Mean and Std. Deviation of" 374 "fBodyAccJerk-meanFreq()-Y"
"Mean and Std. Deviation of" 375 "fBodyAccJerk-meanFreq()-Z"
"Mean and Std. Deviation of" 376 "fBodyAccJerk-skewness()-X"
"Mean and Std. Deviation of" 377 "fBodyAccJerk-kurtosis()-X"
"Mean and Std. Deviation of" 378 "fBodyAccJerk-skewness()-Y"
"Mean and Std. Deviation of" 379 "fBodyAccJerk-kurtosis()-Y"
"Mean and Std. Deviation of" 380 "fBodyAccJerk-skewness()-Z"
"Mean and Std. Deviation of" 381 "fBodyAccJerk-kurtosis()-Z"
"Mean and Std. Deviation of" 382 "fBodyAccJerk-bandsEnergy()-1,8"
"Mean and Std. Deviation of" 383 "fBodyAccJerk-bandsEnergy()-9,16"
"Mean and Std. Deviation of" 384 "fBodyAccJerk-bandsEnergy()-17,24"
"Mean and Std. Deviation of" 385 "fBodyAccJerk-bandsEnergy()-25,32"
